content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Saat saya masuk kembali dengan nomor telepon dan memasukkan PIN DANA yang benar berkali-kali, dan sudah beberapa kali mengganti PIN DANA saya tidak dapat masuk. Sedangkan, saya ada tabungan di DANA. Tolong masalah ini segera di selesaikan",1,Negatif,saat saya masuk kembali dengan nomor telepon dan memasukkan pin dana yang benar berkalikali dan sudah beberapa kali mengganti pin dana saya tidak dapat masuk sedangkan saya ada tabungan di dana tolong masalah ini segera di selesaikan,masuk nomor telepon memasukkan pin dana berkalikali kali mengganti pin dana masuk tabungan dana tolong selesaikan,"['masuk', 'nomor', 'telepon', 'memasukkan', 'pin', 'dana', 'berkalikali', 'kali', 'mengganti', 'pin', 'dana', 'masuk', 'tabungan', 'dana', 'tolong', 'selesaikan']",masuk nomor telepon masuk pin dana berkalikali kali ganti pin dana masuk tabung dana tolong selesai
Dana saya sudah dulu upgrade premium tpi kemarin disuruh upgrade lagi.. pas upgrade gagal terus gimana ini.. sudah klik bantuan chat tpi selalu disuruh tunggu 10 mnt,1,Negatif,dana saya sudah dulu upgrade premium tpi kemarin disuruh upgrade lagi pas upgrade gagal terus gimana ini sudah klik bantuan chat tpi selalu disuruh tunggu  mnt,dana upgrade premium tpi kemarin disuruh upgrade pas upgrade gagal gimana klik bantuan chat tpi disuruh tunggu mnt,"['dana', 'upgrade', 'premium', 'tpi', 'kemarin', 'disuruh', 'upgrade', 'pas', 'upgrade', 'gagal', 'gimana', 'klik', 'bantuan', 'chat', 'tpi', 'disuruh', 'tunggu', 'mnt']",dana upgrade premium tpi kemarin suruh upgrade pas upgrade gagal gimana klik bantu chat tpi suruh tunggu mnt
"Sudah Lebih 24 jam transaksi tidak selesai di proses, Transfer ke Bca menunggu lama dan UANG tidak juga di refund... Cs support hanya menggunakan auto chat... Bagaimana bisa ini di sebut layanan terbaik...",2,Negatif,sudah lebih  jam transaksi tidak selesai di proses transfer ke bca menunggu lama dan uang tidak juga di refund cs support hanya menggunakan auto chat bagaimana bisa ini di sebut layanan terbaik,jam transaksi selesai proses transfer bca menunggu uang refund cs support auto chat layanan terbaik,"['jam', 'transaksi', 'selesai', 'proses', 'transfer', 'bca', 'menunggu', 'uang', 'refund', 'cs', 'support', 'auto', 'chat', 'layanan', 'terbaik']",jam transaksi selesai proses transfer bca tunggu uang refund cs support auto chat layan baik
"Tidak bisa membuka menu transaksi lain nya, sudah satu minggu ini hanya bisa isi pulsa dan data saja.. Menyesal isi saldo lumayan banyak, setelah saldo habis auto uninstal aplikasi/hapus akun. Stop pake aplikasi gak jelas!!!",1,Negatif,tidak bisa membuka menu transaksi lain nya sudah satu minggu ini hanya bisa isi pulsa dan data saja menyesal isi saldo lumayan banyak setelah saldo habis auto uninstal aplikasihapus akun stop pake aplikasi gak jelas,membuka menu transaksi nya minggu isi pulsa data menyesal isi saldo lumayan saldo habis auto uninstal aplikasihapus akun stop pake aplikasi gak,"['membuka', 'menu', 'transaksi', 'nya', 'minggu', 'isi', 'pulsa', 'data', 'menyesal', 'isi', 'saldo', 'lumayan', 'saldo', 'habis', 'auto', 'uninstal', 'aplikasihapus', 'akun', 'stop', 'pake', 'aplikasi', 'gak']",buka menu transaksi nya minggu isi pulsa data sesal isi saldo lumayan saldo habis auto uninstal aplikasihapus akun stop pake aplikasi gak
"Cuma Banyak promo penawaran, saat melakukan pembayaran lewat dana uangnya belum sampai Sangat kecewa sekali menggunakan Apk dana ini, Transaksi sudah berhasil namun di cek ketujuan kirim uang belum masuk, bagaimana ini dana bikin orang susah.",1,Negatif,cuma banyak promo penawaran saat melakukan pembayaran lewat dana uangnya belum sampai sangat kecewa sekali menggunakan apk dana ini transaksi sudah berhasil namun di cek ketujuan kirim uang belum masuk bagaimana ini dana bikin orang susah,promo penawaran pembayaran dana uangnya kecewa apk dana transaksi berhasil cek ketujuan kirim uang masuk dana bikin orang susah,"['promo', 'penawaran', 'pembayaran', 'dana', 'uangnya', 'kecewa', 'apk', 'dana', 'transaksi', 'berhasil', 'cek', 'ketujuan', 'kirim', 'uang', 'masuk', 'dana', 'bikin', 'orang', 'susah']",promo tawar bayar dana uang kecewa apk dana transaksi hasil cek tuju kirim uang masuk dana bikin orang susah
"Aplikasinya sangat membantu. Saran sistem pembayarannya di tambah lagi, contoh: pembayaran pajak, angsuran motor dll, bisa di print juga",5,Positif,aplikasinya sangat membantu saran sistem pembayarannya di tambah lagi contoh pembayaran pajak angsuran motor dll bisa di print juga,aplikasinya membantu saran sistem pembayarannya contoh pembayaran pajak angsuran motor dll print,"['aplikasinya', 'membantu', 'saran', 'sistem', 'pembayarannya', 'contoh', 'pembayaran', 'pajak', 'angsuran', 'motor', 'dll', 'print']",aplikasi bantu saran sistem bayar contoh bayar pajak angsur motor dll print
"selama ini sudah terintegrasi dengan cukup baik,transaksi apapun jadi lebih mudah,namun kadang2 beranda g@aa@",5,Positif,selama ini sudah terintegrasi dengan cukup baiktransaksi apapun jadi lebih mudahnamun kadang beranda g,terintegrasi baiktransaksi apapun mudahnamun kadang beranda g,"['terintegrasi', 'baiktransaksi', 'apapun', 'mudahnamun', 'kadang', 'beranda', 'g']",integrasi baiktransaksi apa mudahnamun kadang beranda g
"Ini gimana ya, aku baru aja kehilangan saldo 30rb lebih padahal ga ada transaksi. Di history ku jg terakhir transaksi sebesar 1500 di 2 platform berbeda. Tp aku kehilangan saldo sampe 30rb. Tolong dong developer tanggapannya. Aku mau saldoku balik walau cuma segítu",1,Negatif,ini gimana ya aku baru aja kehilangan saldo rb lebih padahal ga ada transaksi di history ku jg terakhir transaksi sebesar  di  platform berbeda tp aku kehilangan saldo sampe rb tolong dong developer tanggapannya aku mau saldoku balik walau cuma segtu,gimana ya aja kehilangan saldo rb ga transaksi history ku jg transaksi platform berbeda tp kehilangan saldo sampe rb tolong developer tanggapannya saldoku segtu,"['gimana', 'ya', 'aja', 'kehilangan', 'saldo', 'rb', 'ga', 'transaksi', 'history', 'ku', 'jg', 'transaksi', 'platform', 'berbeda', 'tp', 'kehilangan', 'saldo', 'sampe', 'rb', 'tolong', 'developer', 'tanggapannya', 'saldoku', 'segtu']",gimana ya aja hilang saldo rb ga transaksi history ku jg transaksi platform beda tp hilang saldo sampe rb tolong developer tanggap saldo segtu
"Apk sering eror, gak bisa login, memassukkan nomer telpon dan sandi selalu double, memasukkan sandi yang benar tetap salah. Pelanggaran berat kasih bintang 1 dulu sampai ada perbaikan lanjut",1,Negatif,apk sering eror gak bisa login memassukkan nomer telpon dan sandi selalu double memasukkan sandi yang benar tetap salah pelanggaran berat kasih bintang  dulu sampai ada perbaikan lanjut,apk eror gak login memassukkan nomer telpon sandi double memasukkan sandi salah pelanggaran berat kasih bintang perbaikan,"['apk', 'eror', 'gak', 'login', 'memassukkan', 'nomer', 'telpon', 'sandi', 'double', 'memasukkan', 'sandi', 'salah', 'pelanggaran', 'berat', 'kasih', 'bintang', 'perbaikan']",apk eror gak login memassukkan nomer telpon sandi double masuk sandi salah langgar berat kasih bintang baik
"Mau masuk ke applikasi susah, ketika login notif selalu pin salah ketika login menggunakan pin baru tetap salah, akhirnya saya unistal applikasi dan saya instal aplikasi lain yg lebih mudah dan seperti ovo dan link",1,Negatif,mau masuk ke applikasi susah ketika login notif selalu pin salah ketika login menggunakan pin baru tetap salah akhirnya saya unistal applikasi dan saya instal aplikasi lain yg lebih mudah dan seperti ovo dan link,masuk applikasi susah login notif pin salah login pin salah unistal applikasi instal aplikasi yg mudah ovo link,"['masuk', 'applikasi', 'susah', 'login', 'notif', 'pin', 'salah', 'login', 'pin', 'salah', 'unistal', 'applikasi', 'instal', 'aplikasi', 'yg', 'mudah', 'ovo', 'link']",masuk applikasi susah login notif pin salah login pin salah unistal applikasi instal aplikasi yg mudah ovo link
"Aplikasi totol,masuk ke aplikasi ko lama bgt udah gitu nunggu ferivikasi lama tapi gak masuk masuk,mau nyalahin jaringan ? jaringan gw bagus aplikasi aja yg bodoh",1,Negatif,aplikasi totolmasuk ke aplikasi ko lama bgt udah gitu nunggu ferivikasi lama tapi gak masuk masukmau nyalahin jaringan  jaringan gw bagus aplikasi aja yg bodoh,aplikasi totolmasuk aplikasi ko bgt udah gitu nunggu ferivikasi gak masuk masukmau nyalahin jaringan jaringan gw bagus aplikasi aja yg bodoh,"['aplikasi', 'totolmasuk', 'aplikasi', 'ko', 'bgt', 'udah', 'gitu', 'nunggu', 'ferivikasi', 'gak', 'masuk', 'masukmau', 'nyalahin', 'jaringan', 'jaringan', 'gw', 'bagus', 'aplikasi', 'aja', 'yg', 'bodoh']",aplikasi totolmasuk aplikasi ko bgt udah gitu nunggu ferivikasi gak masuk masukmau nyalahin jaring jaring gw bagus aplikasi aja yg bodoh
"Ribet daftar dana premium gagal terus, serasa dipersulit banget, cs nya juga gk respon mending pake app sebelah aja... dana selalu minta jadi premium padahal saya dulu udah premium tapi sekarang malah harus daftar premium lagi mana gk bisa transfer lagi, dasar app gagal",1,Negatif,ribet daftar dana premium gagal terus serasa dipersulit banget cs nya juga gk respon mending pake app sebelah aja dana selalu minta jadi premium padahal saya dulu udah premium tapi sekarang malah harus daftar premium lagi mana gk bisa transfer lagi dasar app gagal,ribet daftar dana premium gagal serasa dipersulit banget cs nya gk respon mending pake app sebelah aja dana premium udah premium daftar premium gk transfer dasar app gagal,"['ribet', 'daftar', 'dana', 'premium', 'gagal', 'serasa', 'dipersulit', 'banget', 'cs', 'nya', 'gk', 'respon', 'mending', 'pake', 'app', 'sebelah', 'aja', 'dana', 'premium', 'udah', 'premium', 'daftar', 'premium', 'gk', 'transfer', 'dasar', 'app', 'gagal']",ribet daftar dana premium gagal serasa sulit banget cs nya gk respon mending pake app belah aja dana premium udah premium daftar premium gk transfer dasar app gagal
"Tolong di bantu untuk upgrade ke premium,sudah di coba dengan semua persyaratan yang diarahkan oleh sistem tetapi selalu gagal,padahal cuma mau nabung tidak mau berhutang!!!",1,Negatif,tolong di bantu untuk upgrade ke premiumsudah di coba dengan semua persyaratan yang diarahkan oleh sistem tetapi selalu gagalpadahal cuma mau nabung tidak mau berhutang,tolong bantu upgrade premiumsudah coba persyaratan diarahkan sistem gagalpadahal nabung berhutang,"['tolong', 'bantu', 'upgrade', 'premiumsudah', 'coba', 'persyaratan', 'diarahkan', 'sistem', 'gagalpadahal', 'nabung', 'berhutang']",tolong bantu upgrade premiumsudah coba syarat arah sistem gagalpadahal nabung hutang
Parah padahal terakhir bulan Januari make buat top up normal dan bisa muncul tapi sejak masuk april udah ga bisa muncul widget bayar nya jadi harus ngakalin lewat google tapi sekarang malah kalo notif login google di klik gak muncul konfirmasinya. Cuma bisa pake lewat googleplay doang sekarang,1,Negatif,parah padahal terakhir bulan januari make buat top up normal dan bisa muncul tapi sejak masuk april udah ga bisa muncul widget bayar nya jadi harus ngakalin lewat google tapi sekarang malah kalo notif login google di klik gak muncul konfirmasinya cuma bisa pake lewat googleplay doang sekarang,parah januari make top up normal muncul masuk april udah ga muncul widget bayar nya ngakalin google kalo notif login google klik gak muncul konfirmasinya pake googleplay doang,"['parah', 'januari', 'make', 'top', 'up', 'normal', 'muncul', 'masuk', 'april', 'udah', 'ga', 'muncul', 'widget', 'bayar', 'nya', 'ngakalin', 'google', 'kalo', 'notif', 'login', 'google', 'klik', 'gak', 'muncul', 'konfirmasinya', 'pake', 'googleplay', 'doang']",parah januari make top up normal muncul masuk april udah ga muncul widget bayar nya ngakalin google kalo notif login google klik gak muncul konfirmasi pake googleplay doang
"Sekrang DANA sangat lemoott banget pada hal sinyal kuat,banyak bug,bayar pake qeris sering gagal...mohon cepat diperbaiki",1,Negatif,sekrang dana sangat lemoott banget pada hal sinyal kuatbanyak bugbayar pake qeris sering gagalmohon cepat diperbaiki,sekrang dana lemoott banget sinyal kuatbanyak bugbayar pake qeris gagalmohon cepat diperbaiki,"['sekrang', 'dana', 'lemoott', 'banget', 'sinyal', 'kuatbanyak', 'bugbayar', 'pake', 'qeris', 'gagalmohon', 'cepat', 'diperbaiki']",sekrang dana lemoott banget sinyal kuatbanyak bugbayar pake qeris gagalmohon cepat baik
"Saldo berkurang, ada riwayat transaksi kirim uang, tapi nomor tidak dikenal, dan waktu itu saya tidak melakukan transaksi. Chat yang mbalas robot, tidak jelas maksudnya, ribet, berulang-ulang. Uang tidak kembali, setengah juta lebih.",1,Negatif,saldo berkurang ada riwayat transaksi kirim uang tapi nomor tidak dikenal dan waktu itu saya tidak melakukan transaksi chat yang mbalas robot tidak jelas maksudnya ribet berulangulang uang tidak kembali setengah juta lebih,saldo berkurang riwayat transaksi kirim uang nomor dikenal transaksi chat mbalas robot maksudnya ribet berulangulang uang juta,"['saldo', 'berkurang', 'riwayat', 'transaksi', 'kirim', 'uang', 'nomor', 'dikenal', 'transaksi', 'chat', 'mbalas', 'robot', 'maksudnya', 'ribet', 'berulangulang', 'uang', 'juta']",saldo kurang riwayat transaksi kirim uang nomor kenal transaksi chat mbalas robot maksud ribet berulangulang uang juta
"Maaf dana sekarang banyak pengguna ngasih bintang satu.Dana mulai tidak jelas ada pemotongan untuk dana masuk ,harga harganya mulai naik,seperti paket data dan pulsa. Cocok bintang satu untuk dana update terbaru",1,Negatif,maaf dana sekarang banyak pengguna ngasih bintang satudana mulai tidak jelas ada pemotongan untuk dana masuk harga harganya mulai naikseperti paket data dan pulsa cocok bintang satu untuk dana update terbaru,maaf dana pengguna ngasih bintang satudana pemotongan dana masuk harga harganya naikseperti paket data pulsa cocok bintang dana update terbaru,"['maaf', 'dana', 'pengguna', 'ngasih', 'bintang', 'satudana', 'pemotongan', 'dana', 'masuk', 'harga', 'harganya', 'naikseperti', 'paket', 'data', 'pulsa', 'cocok', 'bintang', 'dana', 'update', 'terbaru']",maaf dana guna ngasih bintang satudana potong dana masuk harga harga naikseperti paket data pulsa cocok bintang dana update baru
"Kenapa sih kok masih ada tulisan ""koneksi internetmu terputus nih"" padahal sinyal aku udah stabil masih aja tidak bisa di gunakan, coba lebih di benarkan lagi apk nya biar bintang 5 ada kalau apk nya begini nantinya banyak orang yang memberi bintang 1, karena alasan apk nya tidak bisa digunakan atau masalah jaringan kan gak tau, jadi berharap yang baca ini, dan semoga diperbaiki lagi oleh pemilik 'DANA' tersebut. terimaka sih",1,Negatif,kenapa sih kok masih ada tulisan koneksi internetmu terputus nih padahal sinyal aku udah stabil masih aja tidak bisa di gunakan coba lebih di benarkan lagi apk nya biar bintang  ada kalau apk nya begini nantinya banyak orang yang memberi bintang  karena alasan apk nya tidak bisa digunakan atau masalah jaringan kan gak tau jadi berharap yang baca ini dan semoga diperbaiki lagi oleh pemilik dana tersebut terimaka sih,sih tulisan koneksi internetmu terputus nih sinyal udah stabil aja coba benarkan apk nya biar bintang apk nya orang bintang alasan apk nya jaringan gak tau berharap baca semoga diperbaiki pemilik dana terimaka sih,"['sih', 'tulisan', 'koneksi', 'internetmu', 'terputus', 'nih', 'sinyal', 'udah', 'stabil', 'aja', 'coba', 'benarkan', 'apk', 'nya', 'biar', 'bintang', 'apk', 'nya', 'orang', 'bintang', 'alasan', 'apk', 'nya', 'jaringan', 'gak', 'tau', 'berharap', 'baca', 'semoga', 'diperbaiki', 'pemilik', 'dana', 'terimaka', 'sih']",sih tulis koneksi internetmu putus nih sinyal udah stabil aja coba benar apk nya biar bintang apk nya orang bintang alas apk nya jaring gak tau harap baca moga baik milik dana terimaka sih
"Emang aplikasi gila ,nunggu pembatalan pembayaran saldo ,bisa2 memakan waktu berjam2 ,dan Sampai sekarang saldo gua gak balik2 kedompet utama , aplikasi wajib dihapus dari play store, karena sangat merugikan banyak orang",1,Negatif,emang aplikasi gila nunggu pembatalan pembayaran saldo bisa memakan waktu berjam dan sampai sekarang saldo gua gak balik kedompet utama  aplikasi wajib dihapus dari play store karena sangat merugikan banyak orang,emang aplikasi gila nunggu pembatalan pembayaran saldo memakan berjam saldo gua gak kedompet utama aplikasi wajib dihapus play store merugikan orang,"['emang', 'aplikasi', 'gila', 'nunggu', 'pembatalan', 'pembayaran', 'saldo', 'memakan', 'berjam', 'saldo', 'gua', 'gak', 'kedompet', 'utama', 'aplikasi', 'wajib', 'dihapus', 'play', 'store', 'merugikan', 'orang']",emang aplikasi gila nunggu batal bayar saldo makan jam saldo gua gak dompet utama aplikasi wajib hapus play store rugi orang
"Sangat membantu sekali saat bertransaksi online / berbelanja online , pembelian paket internet / pulsa dsb memakai aplikasi DANA. Akses cepat dan mudah, aman dan terpercaya dlm bertransaksi untuk saat ini..., mudah²an amanah selalu.👌👌👌👍👍👍 TKS 🙂",5,Positif,sangat membantu sekali saat bertransaksi online  berbelanja online  pembelian paket internet  pulsa dsb memakai aplikasi dana akses cepat dan mudah aman dan terpercaya dlm bertransaksi untuk saat ini mudahan amanah selalu tks ,membantu bertransaksi online berbelanja online pembelian paket internet pulsa dsb memakai aplikasi dana akses cepat mudah aman terpercaya dlm bertransaksi mudahan amanah tks,"['membantu', 'bertransaksi', 'online', 'berbelanja', 'online', 'pembelian', 'paket', 'internet', 'pulsa', 'dsb', 'memakai', 'aplikasi', 'dana', 'akses', 'cepat', 'mudah', 'aman', 'terpercaya', 'dlm', 'bertransaksi', 'mudahan', 'amanah', 'tks']",bantu transaksi online belanja online beli paket internet pulsa dsb pakai aplikasi dana akses cepat mudah aman percaya dlm transaksi mudah amanah tks
