content,score,Label
Saldo tertahan batal mengirim sudah 2 hari belum ada kejelasan untuk di kembalikan... Berbeda dengan aplikasi Bank konvensional contoh livin dari Bank Mandiri... Jika gagal transfer uang cepat di kembalikan dalam hitungan menit... Saya sesalkan Jika di saat Pengiriman dana Darurat uang tertahan berhari-hari yang seharusnya secepatnya dibayarkan... Chatlive tidak ada di aplikasi Hannya chat sistem komputer... Hanya balasan bersabar dan bersabar... TOLONG DI PERBAIKI SISTEMNYA RESPONNYA DONG,1,Negatif
"Apk babii, skarang top up sllu kena potongan, mmang apk kkontoll ..Lama"" Nii apk , malah tambah bego , makin update .. Abis update malah , ga bisa ngapa"" In , yg bikin bego CS nya ga bisa nyelesaiin masalah ..",1,Negatif
"Aplikasi kagak jelas, sudah download sudah transfer tapi susah digunakan lagi, ribetnya harus nunggu verifikasi data lagi, padahal data sudah benar, sekalinya download pengen lempar hape ini aplikasi",1,Negatif
"Knpa jadi makin lola sih, awal nya saya kira sinyal saya, stelah sy pakai wifi kantor dan ganti provider ttep aja lemoottt berarti yg salah bkn sinyal tp aplikasi nya",1,Negatif
"udah di download, daftar, tp setelah di daftarin ga bisa di gunain, mau kirim dana ke temen ga bisa, harus di upgrade premium, bagian di daftarin malah gagal terus, chat di CS malah spam info karena gagal, di bales chat nya ga bisa2, aplksi ribet & useless...",1,Negatif
mantap teransaksi lebih mudah ongkir lebih murah tolong jangan di ubah lagi ongkir nya biar tambah maju lagi biyaya murah pasti lebih banyak yang berminat mengunakan aplikasi dana ini dan mudah2an aplikasi ini kedepannya tambah lebih baik lagi,5,Positif
"Aplikasi gak amanah, untuk ngisi kartu e-tol 500ribu ditransferan gak masuk ,dipemberitahuan masih proses, udah 3 minggu dikomplain masih belum dibalikin saldo👎. Aplikasi no good",1,Negatif
"Coba kirim pakai nomor asal asalan, Contoh : 081111111111 Isi nominal, terus masukin pasword, dan lihat apa yang terjadi, Inikah aplikasi yang di bangga² kan? Segitu parahnya kah tingkat keamanan apk dompet digital yang satu ini? Sangat di sayangkan sekali. 😏",1,Negatif
"makin lama makin sering error, sistem sibuk mulu dah 3 hari gak bisa tf ke bank bilangnya sistem sibuk. di update pun tetep sama. ngehambat kerjaan orang aja",1,Negatif
"Bagus hanya beberapa bulan,setelah update beberapa kali jadi buruk,lemot,susah buat transaksi dan yg terakhir saldo berkurang tapi gak terkirim dan uang gak di kembalikan... aplikasi busuk",1,Negatif
"apaan tiba²ke logout sendiri padahal itu pake nomor kedua mau coba login lagi malah gabisa ada tulisan""nomor telah terdaftar atas nama pengguna lain,mohon periksa kembali""gajelas padahal itu nomor kedua",1,Negatif
"Maaf min, saat keluar dari akun dana yg pertama 1 dan pas mau masuk ke akun dana yg ke2 selalu gagal terus dikarenakan harus update apk, padahal usah update yg terbaru, dan dari kedua akun tersebut masih memiliki saldo",1,Negatif
"Masa udah update aplikasi terbaru malah di suruh update lagi udah gitu ga bisa masuk aplikasinya ribet harus masukin nomer lagi terus pas masuk malah harus ngehubungi pihak aplikasi dana,kenapa menghubungi nya juga harus menggunakan pulsa sendiri ya itu tanggung sama depeloper aplikasinya lah massa sama pengguna kan aneh",1,Negatif
"Banyak transaksi yang berkendala, contohnya transaksi pembayaran kartu kredit bukopin, dari pihak bank pun menginformasikan bahwa nasabah lain yang pembayarannya menggunakan dana banyak yang berkendala. Selain itu saya juga pernah isi emoney mandiri, masih belum masuk sampai sekarang karena transaksi pending",1,Negatif
"Pengembalian Transaksi dana sekarang tidak ada konfirmasi dan tindak lanjut dari tim dana, saya jadi malas untuk melakukan transaksi lagi. Tolong untuk bagian konsultasi diubah agar terhubung dengan pengguna bukannya dibalas dengan pesan otomatis.",1,Negatif
"Saya ingin mengembalikan akun yang baru(belum premium) ke akun yang lama (premium) tetapi saya harus mengosongkan saldo, sedangkan jika ingin memindahkan atau tarik tunai harus premium dulu. Sistemnya ga jelas",1,Negatif
"Parah, suruh ganti akun malah saldo ilanb gatau kemana. Akun jadi bermasalah. Mau aduin pengajuan tapi gabisa di akses pengaduan lewat app nya. Sampah bgt merugikan customer",1,Negatif
"Good👍👌 utk semua trx sangat mudah tdk ada kendala apapun👌 Saran saya utk login ke akun dana klo bisa jgn langsung menggunakan nomor hp ,soalnya sdh byk disalahgunakan oleh pihak lain ,alternatifnya sihh menggunakan ID/USERNAME pada saat mau login",5,Positif
"Dari kmarin verifikasi gagal mulu,... Padahal foto e KTP uda jelas,.... Trus kenapa tertera koneksi sinyal ga ada padahal sinyal bagus.... Custemernya juga ga bisa dihubungi,... Jadi ragu nyimpen uang ke aplikasi ini",2,Negatif
"Top up bisa tapi di pakai transaksi tidak bisa, katanya Belum premium, giliran mau Upgrade ke premium harus nunggu 1 dekade mungkin!!",1,Negatif
"Saya suka dengan aplikasi dana, tetapi ada kendala transaksi yang terpending dan saldo sudah terpotong, proses bantuan kendala transaksi sangat lama sudah berhari hari tidak di respon oleh tim dana. Alhasil uang saya nyangkut.",5,Positif
"Hallooo,,, upgrade koq lama bener, udah hampir 4 hari ga selesai,,, uang juga udah terlanjur masuk saldo,, kasih solusi dooong, di telpon customer sevis juga dialihkan kesedot pulsa juga, HALLOOOOOO",1,Negatif
"Aplikasinya cacat banyak bug nya, tolong diperbaiki, jangan sampai pindah ke dompet digital lainnya, thanks",2,Negatif
"Keamanannya parah, akun dana saya kebobolan walaupun nominal ga seberapa tapi kalau begini terus bisa bangkrut ditambah sudah mengajukan laporan dari 3 hari yang lalu tapi belum ada perkembanganan apapun...",1,Negatif
Parah banget. Isi emoney pake dana. Transaksi berhasil tapi saldo tidak masuk. Susah menghubungi live chat. Tapi ga ada solusinya. Keamanan nya gimana ya ni aplikasi?? Tolong tindak lanjut nya dari dana.,1,Negatif
"ah gimana si, masa sy beli paket data di suatu apk, metode pembayaran Pake dana, trs sehabis saya bayar padahal di apk itu transaksi gagal katanya, tapi saldo dana saya tetap terpotong gimana si ini develepor, udh laporan, tanggapan nya lama banget, kek ga di proses², ujung² nya saldo saya ilang hangus",2,Negatif
"Aplikasi Ini Tidak Dapat Digunakan,, Saya Mau Login Akun Dana Saya Malah Disuruh Update Aplikasi Ke Yang Terbaru,, Padahal Sudah Terbaru,, Lalu Disuruh Kirim Email Ke CS DANA, tpi sampai sekarang udh 6 hari gaa ada respon sama sekali!!",2,Negatif
Apk nya sering keluar sendiri..pas mau buka apk nya langsung keluar lagi..harus bberapa kali baru bisa..itupun sangat lemot..parahh nihh dana..,1,Negatif
"Kecewa sekali dengan dana, saya top up dari alfa sampai saat ini belum masuk juga udah 2 hari, padahal saya sudah laporan lewat bantuan, tapi tetep saldo gak ada masuk juga, ini gimana? 500 rb bukan uang kecil bagi saya itu besar, payah, jangan gtulah!!!!",1,Negatif
Untuk dana bisnis pembayaran scan qris dari bank/aplikasi lain tolong prosesnya selesai dalam hitungan menit soalnya kalau mau ditarik saldonya tidak nunggu berapa hari. Bagi saya nunggunya terlalu lama.,5,Positif
"Kenapa setiap mau claim dana kaget selalu diarahin ke playstore dulu??? dan waktu mau tarik saldo dabis padahal sudah vermuk selalu gagal?? udah di update malah bikin ribet dan bingung, dana udah gak kayak dulu lagi deh T__T ini mengganggu banget buat jualan..",1,Negatif
"Lagi urgent banget mau kirim uang, malah suruh nunggu 24 jam, padahal transaksi baru 1 kali itu di hari itu, alhasil uangnya gabisa diapa2in selama 24 jam, dan akhirnya harus pinjem uang temen.",1,Negatif
"Ribet banget aplikasinya Minta cara reset lupa PIN malah di berbelit"" Sudah gitu tidak fast respon lama banget padalmah tinggal kirim kode otp ke ponsel nomer tersebut kenapa harus berbelit"" ribet banget aplikasi aduhh dana saya sudah tidak bisa di pakai karna lupa pin mana ada saldonya lagii",1,Negatif
saya mengalami kendala ketika ingin menarik saldo dana bisnis saya via qriz tetapi setiap kali saya mau tarik saldo tersebut mengalami gangguan seperti menunggu load yang sama padahal jaringan saya sudah bagus dan aman,1,Negatif
"Sistem sedang sibuk terus. Upgrade ke premium ribeet ,,, apk eror lemot . Mohon perbaiki jangan di biarkan terus,,, merepotkan pengguna saja . Chat CS susah banget sllu otomatis ,,, benerin dong ,, jngn mlah ribetin kita pengguna",1,Negatif
Tiba tiba saja HP saya tidak bisa login ke akun dana saya. Saya sangat kecewa Katanya harus update ke versi Terbaru Setelah saya update . Tetap saja login ppun tak bisa sama sekali,1,Negatif
"Pelayanan & Customer service tidak memadai. Komplain kegagalan transaksi & refund saldo tidak ada feedback, Baik itu lewat email telpon. Lemah terhadap penanganan masalah yang terjadi di pengguna apk, tidak recommended",1,Negatif
"Aplikasi dana makin lama makin hancor. Sering kendala sama transaksi,transaksi saya diproses 23jam ..geratis ongkir juga terbatas ,aplikasi bwaan lemot. Saat kendala bingung mau menghubungi pihak CS dana nya .. tolong perbaiki lagi. Tks~~",4,Positif
"mantap lah buat ATM online bayar juga praktis ga perlu bawa-bawa uang lagi kesana kemari, cuma tolong dong buat kerja sama, sama Indomaret biar top-up nya gampang hehe",5,Positif
"Sangat2 kapok pake aplikasi ini, tadinya isi pulsa dan nomornya salah, padahal belum konfirmasi akhir, tapi saldonya sudah dipotong aja, ketika minta refund katanya sudah di refund padahal belum sama sekali, lebih teliti transaksi disini",1,Negatif
"Beli paketan bayar lewat dana, pas diliat didana nya transaksi berhasil tapi nggak masuk²paketan nya malah dikurangin duitnya doang, udah di laporin dari 3 hari yang lalu sampe sekarang belum sama sekali di proses, kecewa parah sama dana",1,Negatif
Sekiranya di DANA bisa di tambahkan fitur CETAK STRUK Maka akan sangat membantu dan mempermudah saya dalam bertransaksi. Di harapkan kedepannya sudah ada fitur CETAK STRUK TRANSAKSI. Terima Kasih.,5,Positif
Kenapa saya tidak bisa upgred ke dana premium.sudah saya coba beberapa kali tetap saja tidak bisa.ini sangat mengecewakan dan sangat menghambat transaksi saya.tolong perbiki secepatnya,1,Negatif
"Benar2 mengecewakan. Selalu minta upgrade. Udah di upgrade giliran mau transaksi minta upgrade lagi. Pada akhirnya upgrade gagal, dan tdk bisa transaksi",2,Negatif
"Saldo di dana tiba tiba hilang saat pemindahan dari hp lama ke hp yang baru padahal masih menggunakan akun, nomor, email yang sama. Mohon segera diperbaiki dan ditindaklanjuti, sebelum konsumen kecewa berat dan menghapus serta tidak menggunakan lagi aplikasi tersebut.",1,Negatif
"semakin mengecewakan aplikasi dana sekarang, udh top up tapi uang nya tidak masuk kedalam aplikasi dana. sangat"" mengecewakan, sudah berkali"" saya mengalami ketidak nyamanan seperti ini",1,Negatif
"Buat para pengguna lebih baik gk usah pakai dana. Unistal aja apk ini, error gak jelas, pin gk pernah di ubah, tiba2 salah terus, gak jelas ini,",1,Negatif
"Hampir tiap saat di update,tapi gak ada peningkatan yg signifikan,malah makin lamban,,bahkan sampai sekarang gak bisa untuk menghapus riwayat transaksi,,riwayat transaksi cuma jadi sampah",2,Negatif
"semakin ngaur , kirim uang ke bank tertunda hampir beberapa hari sudah laporan tidak ada tanggapan , email hanya membalas pertanyaan yang itu-itu saja hingga saat ini uang tidak kembali dan sangat slow respon padahal taun-taun sebelumnya tidak pernah ada kendala",1,Negatif
"Kenapa selalu loading saat menambahkan dana ke pembayaran google playstore, loading Mulu, Gonta ganti kartu tetap aja loading, pake WiFi tetap aja loading, sinyal full batang, terus 4G, dan saat mau bayar top up pake dana, malah ke apk terus nggk bisa melakukan pembayaran, gua liat tutor YouTube nggak ada kyk gua, walaupun ada di coment sama kyk gua",2,Negatif
"Aplikasinya ga beres, masa tiap mau transaksi harus upgrade terus. Sudah begitu servernya sibuk jadi ga bisa upgrade lagi, parah",1,Negatif
"Minus banget ini aplikasi!!! Di saat org urgent disitu juga dia ga bisa login,mana uang gw disitu buat bayar tagihan,soal bgt nyesel bgt pake aplikasi lemot ini!!! Mending gausa pada download deh!!",1,Negatif
"Laporan Top Up Saya yang enggak masuk. TIDAK ADA perkembangan nya sama sekali. Sudah lapor via email, dari aplikasi via Pusat Resolusi Chat Diana, mau via apalagi kelen suruh? . Tidak ada perkembangan nya sama sekali, jangan kelen tengok nilai nya. Tapi kesiapan aplikasi nya...tak recomended kali aplikasi nya utk transaksi keuangan. Kalo ada minus bintang, ku kasi minus ini.",1,Negatif
"stlah di update kocak,, tiba"" nge bug di bagian mau tarik saldo ga bisa di tap, mending kaga usah di update malah bikin ribet",1,Negatif
"Sekarang mah aplikasi nya gakepake. Mau transfer ke bank aja gabisa heran, error di simpan dan lanjut, ga berubah2 terus aja sudah 3 hari. akhirnya uang ga isa di transfer.",1,Negatif
"Agak kecewa sama servernya, sinyal sudah lumayan kencang tapi untuk masuk cukup lama, saran sih kembangin bagian servernya biar lebih nyaman, percuma juga kan kalau tampilan bagus tapi gak bisa digunakan secara maksimal",2,Negatif
"Aplikasi penipu gak ada tidakan dari transaksi yg tidak masuk, transaksi berhasil tpi saldo tidak masuk. Stop pakai APP DANA ini sebelum makin banyak korban",1,Negatif
"Saya merasa sangat kecewa sekali, kenapa DANA saya tidak bisa lagi melakukan transaksi pengiriman,selalu minta di upgrade ke premium,dan selalu gagal,tidak ada tanggapan serta tidak ada proses, padahal sbelumnya saya sudah berhasil upgrade ke premium, dan itu hanya bisa di gunakan 3x transaksi pengiriman saja, ttapi sekarang sudah tidak bisa lagi. Padahal saya sudah melalui pusat resolusi, mengirim data yg di minta,tetapi slalu disuruh menunggu 3-5 hari,bahkan sampai sekarang udah 23 hari,NIHIL.",1,Negatif
Pengiriman gak bisa mulu...terlalu sering aktif katanya. Padahal masih baru update Lemotnya...luar biasa...padahal baru top up,2,Negatif
Parah.. mau pindah akun aja susah banget.. ada layanan live chat tapi gak guna penanganan lama di bales.. dan gak pernah sampai selesai.. memaksa orang supaya telpon cs nya.. pake pulsa.. dan penanganan lama.. harus habiskan puluhan ribu pulsa baru masalah terselesaikan.. hati2 pakai Dana.. susah ngelapor keluhan.. 👎👎👎 gak profesional..,1,Negatif
"Aplikasi bobrok! Gw mau tf aja sampe nunggu sejam baru bisa. Pantes ratingnya jelek skrg, udh gitu komentar ig di matiin. Parah bener nih aplikasi. Gamau tanggung jawab. Mending jangan dipake ini aplikasi, daripada duit kalian nyangkut.",1,Negatif
Aplikasi ini..semakin hari semakin berat dan susah untuk di buka.klu kalian masih mau pakai aplikasi ini..buang hp jadulnya..ganti yg baru buat sesuaikan,2,Negatif
"Kecewa sama aplikasi dana, bertahun-tahun pakai ga ada masalah sama sekali giliran topup nominal besar saldo tidak masuk ke akun dana, terus coba top up lagi dgn nominal 20rb masuk, saldo mbanking sudah berkurang, sudah chat via email sama diana lewat akun dana juga sangat lama responnya 🥺🥺 uang yg untuk nabung tp ga masuk bgtu aja kita harus ngadu kmna kalo semua sudah dihubungi tp tak direspon??? Tlp ke 1500445 no tidak terdaftar, tolong pelayanan dipercepat karna uang itu berhargaaa🙏🙏",1,Negatif
"DANA dulu lebih baik daripada sekarang, Sering terjadinya error berkaca pengalaman teman2 saya, membuat saya tidak percaya lagi dgn aplikasi ini, mulai dari topup yg tidak kunjung ada , sampai transfer ke bank pun bermasalah ... Intinya aplikasi ini sudak tidak nyaman kala top up diatas 1 jt ... Saya user lama, pertama dana muncul di playstore ... Sejatinya bnyak kejadian2 ini terjadi update terkini, Bukannya bikin nyaman malah bikin was2 dan hilang kepercayaan . Enakan DANA dulu,",1,Negatif
"penting untuk menjaga keamanan data, tapi nyatanya saya tidak bisa bertransaksi dgn sumber kartu kredit/ debit, termasuk juga fitur simpan kartu, yg paling parah saya tidak bisa akses aplikasi selalu minta pin dianggap pin salah dan jika di klik lupa pin notifikasi yg muncul adalah diminta hubungi CS, telp 1500445 tidak bisa dihubungi, Kendala sudah terjadi sejak akhir tahun lalu sampai sekarang, sudah lapor beberapa kali via ig fb live chat tidak ada solusi, yg ada fraudster telp saya",1,Negatif
"Sangat tidak membantu untuk pengaduannya low respon banget . PT digital gede masih bisa kayak gini Top up saldo GK masuk"" Bukti ada komplit bos Coba langsung cek ke akun dana gw .masuk apa enggak itu top up .bukti udh di kirim beberapa kali .TPI low respon banget kinerja nya",1,Negatif
"Saya pengguna dana sdh sangat lama. Tapi akhir2ini saya kaget dana ada PPN nya jadi males malah gede banget lagi. Blm lagi TF ke bank/sesama pengguna. Ditambah lemot, sering gagal login. Tlg di perbaiki",2,Negatif
Ga tau deh kenapa ga bisa upgrade ke dana premium. Kenapa selalu gagal pas upgrade. Nyari solusi ke pusat bantuan sesalu di balas oleh robot 🤦🏻‍♀️🤦🏻‍♀️,1,Negatif
"Ini kenapa dari awal aman2 saja,dari upgrade premium balik non premium lagi,malah d upgrade gagal terus ,mau penarikan/transer d suruh upgrade,csnya pun g menanggapi ,perbaiki donk",1,Negatif
"Tolong dong pihak dana tambahin opsi login via email, jangan via no telp aja, resiko via no telp lebih bahaya, soalnya kalau kartu hilang susah login nya. tolong ditambahin opsi nya ya",5,Positif
"Kenapa stelah d update kok malah kwalitas nya menurun. Waktu saya login skrng kok tambah susah, stelah Verifikasi kok malah kembali lgi k halaman login atau kdang malah stug. Mohon untuk developer nya d perbaiki lagi",2,Negatif
"saya menyeselal download apk dana ga bisa di gunakan padahal ada saldonya , kenapa si saya mau daftar dana premium susah banget gagal terus apa emang sengaja biar uang nya buat kalian . coba buktikan perbaiki masalah ini ! jangan d persulit jadi nya saya ga bisa transfer",1,Negatif
