userName,content
Fatkhur Dwi Adriansyah,"Saldo di dana tiba tiba hilang saat pemindahan dari hp lama ke hp yang baru padahal masih menggunakan akun, nomor, email yang sama. Mohon segera diperbaiki dan ditindaklanjuti, sebelum konsumen kecewa berat dan menghapus serta tidak menggunakan lagi aplikasi tersebut."
Benny Suriyadi,"semakin mengecewakan aplikasi dana sekarang, udh top up tapi uang nya tidak masuk kedalam aplikasi dana. sangat"" mengecewakan, sudah berkali"" saya mengalami ketidak nyamanan seperti ini"
Rian Santos,"Buat para pengguna lebih baik gk usah pakai dana. Unistal aja apk ini, error gak jelas, pin gk pernah di ubah, tiba2 salah terus, gak jelas ini,"
Teteng Winarya,"Hampir tiap saat di update,tapi gak ada peningkatan yg signifikan,malah makin lamban,,bahkan sampai sekarang gak bisa untuk menghapus riwayat transaksi,,riwayat transaksi cuma jadi sampah"
sahrul chandra,"semakin ngaur , kirim uang ke bank tertunda hampir beberapa hari sudah laporan tidak ada tanggapan , email hanya membalas pertanyaan yang itu-itu saja hingga saat ini uang tidak kembali dan sangat slow respon padahal taun-taun sebelumnya tidak pernah ada kendala"
Muhammad Ervan,"Kenapa selalu loading saat menambahkan dana ke pembayaran google playstore, loading Mulu, Gonta ganti kartu tetap aja loading, pake WiFi tetap aja loading, sinyal full batang, terus 4G, dan saat mau bayar top up pake dana, malah ke apk terus nggk bisa melakukan pembayaran, gua liat tutor YouTube nggak ada kyk gua, walaupun ada di coment sama kyk gua"
Yongky . .,"Aplikasinya ga beres, masa tiap mau transaksi harus upgrade terus. Sudah begitu servernya sibuk jadi ga bisa upgrade lagi, parah"
Ica Chaniago,"Minus banget ini aplikasi!!! Di saat org urgent disitu juga dia ga bisa login,mana uang gw disitu buat bayar tagihan,soal bgt nyesel bgt pake aplikasi lemot ini!!! Mending gausa pada download deh!!"
Pramudia,"Laporan Top Up Saya yang enggak masuk. TIDAK ADA perkembangan nya sama sekali. Sudah lapor via email, dari aplikasi via Pusat Resolusi Chat Diana, mau via apalagi kelen suruh? . Tidak ada perkembangan nya sama sekali, jangan kelen tengok nilai nya. Tapi kesiapan aplikasi nya...tak recomended kali aplikasi nya utk transaksi keuangan. Kalo ada minus bintang, ku kasi minus ini."
ezsa amin f,"stlah di update kocak,, tiba"" nge bug di bagian mau tarik saldo ga bisa di tap, mending kaga usah di update malah bikin ribet"
Azis Almisuari,"Sekarang mah aplikasi nya gakepake. Mau transfer ke bank aja gabisa heran, error di simpan dan lanjut, ga berubah2 terus aja sudah 3 hari. akhirnya uang ga isa di transfer."
Nadya Nadya,"Agak kecewa sama servernya, sinyal sudah lumayan kencang tapi untuk masuk cukup lama, saran sih kembangin bagian servernya biar lebih nyaman, percuma juga kan kalau tampilan bagus tapi gak bisa digunakan secara maksimal"
Arie Nugraha,"Aplikasi penipu gak ada tidakan dari transaksi yg tidak masuk, transaksi berhasil tpi saldo tidak masuk. Stop pakai APP DANA ini sebelum makin banyak korban"
Sepri Ansyah,"Saya merasa sangat kecewa sekali, kenapa DANA saya tidak bisa lagi melakukan transaksi pengiriman,selalu minta di upgrade ke premium,dan selalu gagal,tidak ada tanggapan serta tidak ada proses, padahal sbelumnya saya sudah berhasil upgrade ke premium, dan itu hanya bisa di gunakan 3x transaksi pengiriman saja, ttapi sekarang sudah tidak bisa lagi. Padahal saya sudah melalui pusat resolusi, mengirim data yg di minta,tetapi slalu disuruh menunggu 3-5 hari,bahkan sampai sekarang udah 23 hari,NIHIL."
sabar yanti rufina sitanggang,Pengiriman gak bisa mulu...terlalu sering aktif katanya. Padahal masih baru update Lemotnya...luar biasa...padahal baru top up
Dicki irwana Nurdin,Parah.. mau pindah akun aja susah banget.. ada layanan live chat tapi gak guna penanganan lama di bales.. dan gak pernah sampai selesai.. memaksa orang supaya telpon cs nya.. pake pulsa.. dan penanganan lama.. harus habiskan puluhan ribu pulsa baru masalah terselesaikan.. hati2 pakai Dana.. susah ngelapor keluhan.. 👎👎👎 gak profesional..
Bagus Surya,"Aplikasi bobrok! Gw mau tf aja sampe nunggu sejam baru bisa. Pantes ratingnya jelek skrg, udh gitu komentar ig di matiin. Parah bener nih aplikasi. Gamau tanggung jawab. Mending jangan dipake ini aplikasi, daripada duit kalian nyangkut."
Leni Joko,Aplikasi ini..semakin hari semakin berat dan susah untuk di buka.klu kalian masih mau pakai aplikasi ini..buang hp jadulnya..ganti yg baru buat sesuaikan
